iter	Logloss
0	0.6738264722
1	0.6589254505
2	0.6475875109
3	0.6390503142
4	0.6328195899
5	0.6266723294
6	0.6221274305
7	0.6178511411
8	0.6149221151
9	0.6127258785
10	0.610103447
11	0.6079731494
12	0.6065507249
13	0.6051777562
14	0.6042563301
15	0.6033225643
16	0.6024671712
17	0.6018375128
18	0.6011658192
19	0.6003790967
20	0.5996200898
21	0.5990109549
22	0.5986288872
23	0.59817443
24	0.5977701805
25	0.5973609153
26	0.5970909146
27	0.5968604432
28	0.5966750293
29	0.5964614842
30	0.5962815077
31	0.596075652
32	0.5957537582
33	0.5956351052
34	0.5954490447
35	0.5951497478
36	0.5949252151
37	0.5947781395
38	0.5945666053
39	0.5943943755
40	0.5942269563
41	0.5940615916
42	0.5938402145
43	0.593738119
44	0.5935419927
45	0.5933856635
46	0.5932872941
47	0.5931880236
48	0.5930138137
49	0.5928415822
50	0.5927429346
51	0.5926456525
52	0.5925181681
53	0.5924091839
54	0.5923371063
55	0.5922696042
56	0.592192584
57	0.5920648571
58	0.5919862023
59	0.5919495334
60	0.5918277966
61	0.5917409039
62	0.5916252182
63	0.5914763608
64	0.5913257177
65	0.5912095143
66	0.5910907324
67	0.5909577278
68	0.590813345
69	0.5906976509
70	0.5905726551
71	0.5904843222
72	0.5903407067
73	0.5902116128
74	0.5901340524
75	0.5900266538
76	0.5898694829
77	0.5897580949
78	0.589663083
79	0.5895995342
80	0.5895242003
81	0.5894633527
82	0.5893275363
83	0.5892186682
84	0.589189488
85	0.5890955431
86	0.5889270394
87	0.5888660832
88	0.5887443029
89	0.5885725596
90	0.5884464991
91	0.5883548382
92	0.5882819206
93	0.5882166838
94	0.5881712371
95	0.5880983394
96	0.5880247694
97	0.5880008668
98	0.5879250864
99	0.5877740711
100	0.5877144317
101	0.5876101405
102	0.5875803011
103	0.5874668552
104	0.5873855921
105	0.5873165388
106	0.5872309331
107	0.5871676816
108	0.5870877454
109	0.5869568818
110	0.5868581185
111	0.5867725696
112	0.5866669252
113	0.5865946169
114	0.5865462984
115	0.5864752078
116	0.5864622317
117	0.5863042407
118	0.5862248325
119	0.5861956009
120	0.5861192258
121	0.5860741683
122	0.5859030931
123	0.5858496406
124	0.5858163099
125	0.5856597378
126	0.5855664369
127	0.585440351
128	0.5853316197
129	0.5852191874
130	0.5851328068
131	0.5850346097
132	0.5849266977
133	0.5848487652
134	0.5846940298
135	0.5845975289
136	0.5844837166
137	0.5844480994
138	0.5843481527
139	0.5842003066
140	0.5840846514
141	0.5839927353
142	0.5839221719
143	0.5838221227
144	0.5837441872
145	0.5836531682
146	0.583565675
147	0.5834857745
148	0.5833723651
149	0.583272847
150	0.5832148856
151	0.5831583532
152	0.5830544871
153	0.5829185836
154	0.5828192219
155	0.5827370124
156	0.5826540262
157	0.582584009
158	0.582520249
159	0.5824149834
160	0.5822792875
161	0.5821843711
162	0.5820536781
163	0.5819732237
164	0.5818919771
165	0.5817974526
166	0.5816785958
167	0.5816307107
168	0.58153194
169	0.5814374773
170	0.5813815878
171	0.5812985214
172	0.5812016465
173	0.5810868993
174	0.5810075299
175	0.5809030589
176	0.5807941568
177	0.5807377932
178	0.5806751322
179	0.5806528807
180	0.5805813428
181	0.5805177006
182	0.580365323
183	0.5802926847
184	0.5801927069
185	0.5801108983
186	0.5800901119
187	0.5800211681
188	0.5799731932
189	0.5798854168
190	0.5797472343
191	0.5796853639
192	0.5796232288
193	0.5795635431
194	0.5794915909
195	0.5793690882
196	0.5792764672
197	0.5792075552
198	0.5791363761
199	0.5790981101
