iter	Passed	Remaining
0	130	25992
1	141	13971
2	150	9880
3	159	7837
4	168	6588
5	178	5757
6	186	5145
7	196	4718
8	204	4348
9	213	4052
10	221	3809
11	230	3603
12	238	3434
13	246	3280
14	255	3155
15	263	3031
16	272	2935
17	280	2839
18	290	2766
19	298	2684
20	307	2617
21	314	2547
22	323	2490
23	331	2429
24	340	2383
25	348	2330
26	357	2287
27	365	2242
28	373	2204
29	381	2162
30	390	2131
31	399	2096
32	408	2065
33	415	2030
34	424	2001
35	432	1969
36	441	1942
37	448	1913
38	457	1887
39	465	1862
40	473	1837
41	482	1815
42	493	1801
43	501	1778
44	509	1756
45	519	1737
46	526	1714
47	535	1695
48	543	1674
49	551	1654
50	560	1636
51	568	1619
52	576	1600
53	585	1584
54	593	1565
55	602	1549
56	609	1528
57	617	1511
58	625	1494
59	633	1478
60	640	1459
61	649	1444
62	658	1431
63	667	1418
64	675	1403
65	685	1392
66	694	1377
67	705	1369
68	714	1356
69	722	1341
70	733	1333
71	742	1320
72	753	1311
73	763	1300
74	772	1287
75	781	1274
76	789	1261
77	797	1248
78	806	1234
79	815	1223
80	823	1210
81	832	1197
82	840	1184
83	852	1177
84	868	1175
85	881	1167
86	892	1159
87	902	1148
88	912	1138
89	922	1127
90	934	1119
91	945	1110
92	955	1099
93	965	1088
94	975	1077
95	985	1067
96	995	1056
97	1006	1047
98	1018	1039
99	1029	1029
100	1042	1021
101	1052	1011
102	1063	1001
103	1073	990
104	1084	980
105	1096	972
106	1108	963
107	1119	953
108	1132	945
109	1144	936
110	1156	927
111	1167	917
112	1179	908
113	1191	899
114	1203	889
115	1215	880
116	1227	870
117	1239	861
118	1251	851
119	1262	841
120	1274	832
121	1286	822
122	1298	812
123	1311	803
124	1323	793
125	1334	783
126	1347	774
127	1359	764
128	1371	755
129	1383	745
130	1396	735
131	1410	726
132	1423	717
133	1438	708
134	1451	698
135	1463	688
136	1474	678
137	1486	667
138	1498	657
139	1509	646
140	1519	635
141	1531	625
142	1544	615
143	1557	605
144	1571	596
145	1585	586
146	1595	575
147	1608	564
148	1620	554
149	1633	544
150	1646	534
151	1658	523
152	1671	513
153	1684	503
154	1696	492
155	1708	481
156	1720	471
157	1734	461
158	1746	450
159	1757	439
160	1770	428
161	1783	418
162	1795	407
163	1808	396
164	1820	386
165	1835	375
166	1861	367
167	1873	356
168	1882	345
169	1893	334
170	1903	322
171	1914	311
172	1925	300
173	1936	289
174	1945	277
175	1957	266
176	1968	255
177	1979	244
178	1990	233
179	2000	222
180	2010	211
181	2020	199
182	2031	188
183	2041	177
184	2053	166
185	2063	155
186	2076	144
187	2087	133
188	2099	122
189	2113	111
190	2125	100
191	2137	89
192	2149	77
193	2160	66
194	2172	55
195	2184	44
196	2197	33
197	2207	22
198	2220	11
199	2232	0
